ts,value
1748480700000,100000.0
1748480760000,100000.0
1748480820000,100000.0
1748480880000,100000.0
1748480940000,100000.0
1748481000000,100000.0
1748481060000,100000.0
1748481120000,100000.0
1748481180000,100000.0
1748481240000,100000.0
1748481300000,100000.0
1748481360000,100000.0
1748481420000,100000.0
1748481480000,100000.0
1748481540000,100000.0
1748481600000,100000.0
1748481660000,100000.0
1748481720000,100000.0
1748481780000,100000.0
1748481840000,100000.0
1748481900000,100000.0
1748481960000,100000.0
1748482020000,100000.0
1748482080000,100000.0
1748482140000,100000.0
1748482200000,100000.0
1748482260000,100000.0
1748482320000,100000.0
1748482380000,100000.0
1748482440000,100000.0
1748482500000,100000.0
1748482560000,100000.0
1748482620000,100000.0
1748482680000,100000.0
1748482740000,99997.96563316284
1748482800000,99997.96563316284
1748482860000,99997.96563316284
1748482920000,99997.96563316284
1748482980000,99997.96563316284
1748483040000,99997.96563316284
1748483100000,99997.96563316284
1748483160000,99997.96563316284
1748483220000,99994.32843106898
1748483280000,99994.32843106898
1748483340000,99994.32843106898
1748483400000,99994.32843106898
1748483460000,99994.32843106898
1748483520000,99994.32843106898
1748483580000,99994.32843106898
1748483640000,99994.32843106898
1748483700000,99994.32843106898
1748483760000,99994.32843106898
1748483820000,99994.32843106898
1748483880000,99994.32843106898
1748483940000,99994.32843106898
1748484000000,99994.32843106898
1748484060000,99994.32843106898
1748484120000,99994.32843106898
1748484180000,99994.32843106898
1748484240000,99994.32843106898
1748484300000,99994.32843106898
1748484360000,99995.47908293385
1748484420000,99995.47908293385
1748484480000,99995.47908293385
1748484540000,99995.47908293385
1748484600000,99995.47908293385
1748484660000,99995.47908293385
1748484720000,99995.47908293385
1748484780000,99995.47908293385
1748484840000,99995.47908293385
1748484900000,99995.47908293385
1748484960000,99995.47908293385
1748485020000,99995.47908293385
1748485080000,99995.47908293385
1748485140000,99995.47908293385
1748485200000,99995.47908293385
1748485260000,99995.47908293385
1748485320000,100016.02155995577
1748485380000,100012.86881286738
1748485440000,100012.86881286738
1748485500000,100012.86881286738
1748485560000,100012.86881286738
1748485620000,100098.65771078426
1748485680000,100098.65771078426
1748485740000,100098.65771078426
1748485800000,100098.65771078426
1748485860000,100098.65771078426
1748485920000,100098.65771078426
1748485980000,100098.65771078426
1748486040000,99970.93287160495
1748486100000,99946.92535477929
1748486160000,99928.46625623488
1748486220000,99917.34751370996
1748486280000,99917.34751370996
1748486340000,99917.34751370996
1748486400000,99900.25055951254
1748486460000,99900.25055951254
1748486520000,99884.6291309362
1748486580000,99867.85465708005
1748486640000,99867.85465708005
1748486700000,99867.85465708005
1748486760000,99829.18528702352
1748486820000,99829.18528702352
1748486880000,99824.4095015256
1748486940000,99824.4095015256
1748487000000,99830.58612915204
1748487060000,99825.20542374552
1748487120000,99833.39089917176
1748487180000,99825.10953349071
1748487240000,99825.10953349071
1748487300000,99822.55438457562
1748487360000,99832.6012420931
1748487420000,99841.99526386267
1748487480000,99838.19065999202
1748487540000,99828.20144599112
1748487600000,99828.20144599112
1748487660000,99808.47032455409
1748487720000,99804.80435243924
1748487780000,99804.80435243924
1748487840000,99804.80435243924
1748487900000,99804.80435243924
1748487960000,99850.58760656802
1748488020000,99838.53544662223
1748488080000,99834.3196877683
1748488140000,99840.96790861203
1748488200000,99814.40753463295
1748488260000,99814.40753463295
1748488320000,99814.40753463295
1748488380000,99814.40753463295
1748488440000,99814.40753463295
1748488500000,99795.19929476081
1748488560000,99795.19929476081
1748488620000,99782.88614109371
1748488680000,99782.88614109371
1748488740000,99768.89851742923
1748488800000,99762.29812035516
1748488860000,99762.29812035516
1748488920000,99744.87802695473
1748488980000,99746.53430941497
1748489040000,99746.53430941497
1748489100000,99746.53430941497
1748489160000,99722.3855706951
1748489220000,99715.38501790522
1748489280000,99715.38501790522
1748489340000,99715.38501790522
1748489400000,99715.38501790522
1748489460000,99715.38501790522
1748489520000,99689.17259159763
1748489580000,99689.17259159763
1748489640000,99690.73716382473
1748489700000,99686.30705902862
1748489760000,99686.30705902862
1748489820000,99704.80943107592
